#{"t_start": 1787249027.5175855, "env_id": "None"}
r,l,t
-54.0,1,0.058578
-10.0,2,0.072768
-47.4,2,0.089981
-85.5,1,0.101742
-41.4,1,0.11249
-46.8,1,0.123877
-10.0,1,0.134589
-69.3,2,0.147108
-10.0,2,0.16437
-10.0,1,0.180478
-38.1,1,0.19685
-46.8,1,0.207663
-33.6,3,0.226328
-10.0,2,0.234386
-10.0,1,0.239576
-10.0,2,0.248266
-10.0,1,0.25393
-10.0,1,0.2605
-45.0,1,0.269185
-38.4,1,0.276578
-10.0,1,0.287015
-10.0,2,0.298736
-10.0,1,0.305314
-10.0,1,0.312757
-10.0,1,0.318944
-10.0,1,0.327423
-10.0,1,0.334868
-44.1,2,0.348362
-33.6,1,0.358425
-54.9,1,0.367848
-10.0,1,0.375769
-10.0,1,0.384251
-10.0,1,0.394343
-10.0,1,0.402406
-10.0,2,0.416295
-49.2,2,0.430928
-10.0,2,0.442935
-42.9,2,0.455913
-10.0,2,0.467498
-10.0,1,0.474934
-70.8,1,0.483468
-10.0,1,0.490891
-62.4,1,0.499156
-33.6,1,0.508076
-10.0,1,0.517802
-49.2,1,0.525899
-35.4,2,0.536358
-39.9,2,0.546308
-53.4,1,0.553999
-10.0,1,0.562591
-51.3,1,0.568944
-48.6,1,0.575043
-42.9,1,0.581495
-10.0,2,0.591176
-10.0,1,0.5979
-33.6,3,0.611843
-48.6,1,0.620138
-67.5,1,0.625952
-44.7,1,0.631603
-10.0,1,0.637097
-46.5,2,0.645527
-10.0,2,0.654064
-10.0,1,0.661689
-10.0,2,0.686212
-10.0,1,0.705554
-10.0,2,0.74725
-61.2,2,0.764431
-54.0,1,0.774046
-10.0,1,0.798113
-38.7,1,0.808775
-53.7,2,0.824011
-10.0,2,0.842109
-10.0,3,0.860076
-10.0,1,0.870344
-10.0,1,0.877782
-43.2,1,0.88411
-10.0,1,0.892688
-61.5,1,0.899702
-10.0,2,0.909728
-62.4,1,0.917286
-10.0,2,0.928039
-30.6,1,0.935338
-54.0,1,0.9439
-68.1,1,0.95083
-10.0,1,0.959667
-10.0,1,0.968225
-55.8,4,0.995156
-31.2,2,1.008758
-10.0,1,1.022127
-10.0,1,1.039238
-10.0,1,1.051047
-48.6,1,1.0658
-10.0,3,1.100583
-10.0,3,1.141053
-40.2,1,1.152376
-47.7,1,1.171059
-41.1,1,1.185834
-10.0,2,1.206988
-10.0,2,1.224533
-10.0,2,1.23894
-62.4,1,1.254639
-10.0,1,1.265251
-47.7,1,1.280921
-10.0,1,1.292301
-10.0,1,1.308361
-10.0,1,1.317324
-10.0,1,1.332725
-10.0,2,1.345186
-10.0,2,1.364015
-54.6,2,1.377505
-10.0,1,1.391397
-10.0,1,1.400962
-10.0,1,1.417257
-10.0,1,1.433802
-10.0,1,1.446718
-37.8,2,1.470008
-41.1,1,1.481798
-10.0,1,1.494772
-41.7,2,1.519675
-10.0,1,1.533927
-10.0,1,1.556249
-10.0,1,1.563261
-86.7,2,1.578931
-41.4,4,1.599629
-10.0,1,1.607272
-30.0,3,1.623153
-10.0,2,1.633312
-10.0,1,1.645694
-43.5,1,1.656119
-10.0,1,1.666762
-10.0,1,1.674087
-33.6,1,1.681336
-10.0,4,1.696962
-10.0,1,1.704171
-25.8,1,1.712045
-69.6,1,1.718467
-10.0,1,1.725554
-10.0,1,1.732298
-31.5,1,1.738721
-10.0,2,1.74843
-10.0,1,1.755508
-10.0,2,1.764751
-65.1,2,1.775013
-10.0,4,1.79347
-38.7,2,1.803987
-10.0,1,1.810592
-39.9,2,1.819937
-10.0,2,1.832395
-28.8,1,1.839303
-10.0,1,1.845906
-30.9,1,1.852972
-10.0,1,1.859325
-10.0,1,1.872495
-44.4,1,1.882479
-61.5,1,1.892761
-87.0,1,1.90256
-10.0,1,1.909299
-10.0,1,1.915524
-48.9,1,1.925869
-49.8,1,1.935853
-10.0,1,1.946765
-78.6,1,1.956552
-31.5,1,1.968564
-10.0,1,1.979395
-10.0,1,1.987545
-30.6,2,2.000588
-10.0,1,2.007337
-10.0,2,2.020599
-48.6,1,2.030386
-10.0,1,2.039877
-42.0,1,2.045678
-10.0,2,2.054277
-10.0,4,2.074365
-10.0,1,2.084007
-48.9,1,2.090854
-10.0,1,2.096945
-10.0,1,2.10263
-42.9,1,2.108833
-10.0,2,2.120537
-41.7,2,2.136874
-41.4,1,2.144819
-10.0,1,2.152737
-10.0,1,2.16209
-42.9,2,2.173788
-10.0,1,2.180385
-10.0,1,2.185955
-10.0,1,2.191796
-10.0,2,2.200759
-10.0,1,2.206628
-30.3,5,2.224682
-10.0,2,2.233121
-10.0,3,2.244182
-10.0,1,2.250376
-56.7,1,2.256922
-35.7,1,2.263573
-10.0,1,2.269794
-10.0,1,2.275367
-23.1,1,2.280697
-38.4,1,2.286712
-10.0,1,2.292129
-48.6,1,2.298083
-10.0,1,2.305242
-10.0,1,2.311086
-41.7,3,2.323551
-10.0,1,2.329432
-10.0,1,2.335387
-41.4,3,2.346839
-69.6,1,2.352672
-10.0,1,2.358382
-10.0,3,2.369894
-10.0,1,2.375436
-10.0,1,2.381397
-10.0,2,2.389594
-10.0,1,2.395599
-48.6,1,2.401627
-54.6,2,2.410492
-10.0,3,2.422669
-44.7,1,2.428802
-10.0,1,2.434061
-53.4,2,2.441827
-46.5,2,2.450695
-10.0,1,2.45711
-10.0,2,2.467187
-29.4,2,2.47626
-10.0,5,2.492591
-44.4,1,2.498021
-10.0,1,2.503638
-30.6,2,2.512493
-10.0,2,2.521049
-25.8,1,2.527806
-54.0,1,2.534333
-33.3,2,2.548047
-10.0,2,2.55869
-10.0,1,2.563934
-10.0,2,2.572174
-10.0,1,2.577469
-53.4,3,2.589301
-10.0,1,2.594962
-10.0,1,2.603588
-10.0,2,2.612317
-34.5,3,2.623615
-53.7,2,2.634601
-61.5,1,2.640318
-10.0,1,2.646082
-25.8,1,2.651684
-10.0,1,2.657507
-10.0,3,2.669142
-10.0,2,2.677841
-33.6,1,2.683644
-10.0,4,2.69933
-28.5,2,2.707543
-10.0,1,2.713729
-10.0,1,2.718863
-10.0,1,2.724151
-10.0,1,2.729791
-10.0,3,2.743627
-49.5,1,2.750046
-33.6,1,2.756436
-10.0,1,2.761731
-10.0,2,2.77004
-10.0,5,2.787674
-42.0,1,2.795159
-10.0,1,2.801177
-10.0,1,2.806845
-38.4,2,2.814448
-31.5,1,2.81996
-10.0,1,2.826532
-53.7,2,2.835977
-10.0,1,2.843379
-10.0,2,2.850824
-10.0,1,2.856004
-10.0,1,2.86114
-48.6,1,2.866648
-10.0,2,2.875052
-39.0,1,2.88104
-86.7,2,2.889825
-40.2,1,2.895078
-10.0,3,2.909277
-32.1,1,2.914911
-10.0,1,2.920723
-25.2,3,2.931882
-10.0,2,2.942348
-45.0,1,2.948056
-48.9,2,2.956773
-10.0,1,2.962144
-45.3,1,2.969744
-10.0,1,2.975145
-10.0,1,2.980889
-87.0,1,2.986058
-48.6,1,2.991074
-34.2,1,2.996221
-10.0,1,3.001416
-10.0,1,3.006783
-10.0,1,3.013377
-30.6,2,3.022796
-10.0,2,3.031036
-40.2,1,3.036819
-10.0,1,3.042404
-87.0,1,3.049279
-46.5,2,3.058603
-44.7,2,3.067913
-10.0,1,3.074139
-44.1,1,3.082242
-49.2,2,3.09198
-34.5,1,3.099442
-10.0,1,3.106478
-69.6,1,3.113016
-41.1,1,3.119284
-56.4,2,3.127878
-10.0,1,3.13306
-10.0,1,3.138427
-34.5,1,3.143463
-10.0,1,3.148531
-10.0,1,3.153581
-30.9,2,3.161084
-40.5,3,3.1707
-69.6,1,3.175609
-10.0,1,3.180538
-10.0,2,3.187783
-40.8,2,3.194997
-54.0,1,3.200068
-41.1,1,3.204942
-10.0,2,3.21205
-10.0,2,3.218192
-70.8,1,3.222296
-36.6,2,3.228288
-10.0,2,3.234375
-10.0,1,3.238406
-10.0,1,3.242434
-10.0,1,3.246498
-61.8,1,3.250535
-54.3,3,3.258364
-10.0,1,3.262569
-10.0,1,3.266593
-25.5,2,3.27253
-69.3,2,3.278548
-10.0,1,3.282576
-43.2,1,3.286643
-38.4,1,3.290605
-10.0,1,3.294903
-44.4,1,3.299025
-10.0,1,3.303067
-48.9,1,3.307038
-10.0,1,3.313141
-38.1,1,3.318198
-10.0,1,3.323107
-30.6,1,3.328195
-22.8,2,3.335494
-39.0,1,3.340482
-10.0,1,3.345458
-48.6,1,3.350415
-10.0,1,3.355304
-38.4,1,3.361054
-10.0,3,3.370844
-54.9,1,3.37584
-43.8,2,3.383144
-35.4,4,3.395386
-10.0,1,3.400362
-54.0,1,3.404593
-10.0,1,3.408712
-10.0,1,3.412532
-53.4,1,3.416174
-10.0,1,3.419955
-32.1,1,3.425133
-48.6,1,3.430866
-10.0,3,3.442383
-10.0,2,3.450786
-10.0,3,3.460398
-10.0,1,3.464577
-10.0,1,3.469652
-10.0,1,3.476988
-10.0,1,3.482186
-42.3,1,3.487137
-10.0,2,3.494374
-10.0,3,3.504708
-10.0,1,3.510127
-10.0,1,3.515532
-41.1,1,3.521015
-45.3,1,3.525968
-10.0,4,3.538207
-28.5,2,3.545503
-10.0,2,3.553704
-10.0,1,3.558816
-10.0,1,3.563771
-10.0,1,3.569113
-35.7,1,3.57409
-69.6,1,3.579127
-30.9,1,3.584182
-10.0,3,3.593806
-37.5,4,3.606288
-33.6,1,3.610884
-10.0,1,3.617013
-48.9,1,3.622283
-10.0,1,3.627316
-39.6,3,3.637838
-54.0,1,3.642805
-39.6,3,3.651901
-10.0,1,3.657911
-10.0,1,3.662884
-35.1,1,3.66705
-46.5,2,3.672843
-10.0,1,3.67834
-46.8,1,3.684959
-23.1,1,3.689463
-93.3,1,3.693753
-40.2,1,3.700027
-67.2,1,3.707107
-10.0,1,3.711535
-41.7,5,3.729618
-37.8,2,3.73561
-32.1,1,3.740445
-34.5,1,3.74614
-10.0,1,3.749994
-10.0,3,3.757088
-10.0,1,3.760805
-10.0,1,3.766069
-38.7,2,3.772089
-44.4,1,3.776245
-44.1,2,3.785196
-44.4,1,3.789428
-10.0,1,3.793176
-10.0,1,3.798161
-30.6,2,3.805598
-10.0,1,3.810508
-10.0,1,3.814351
-10.0,1,3.819355
-10.0,4,3.833293
-54.0,1,3.838564
-10.0,1,3.844291
-42.9,2,3.857604
-10.0,2,3.868393
-38.7,1,3.876653
-67.2,1,3.881636
-41.4,1,3.890211
-10.0,1,3.897272
-32.1,1,3.901887
-31.5,3,3.920067
-10.0,1,3.925914
-10.0,1,3.932556
-28.8,1,3.937435
-53.4,3,3.948469
-45.9,6,3.974146
-70.8,1,3.980451
-10.0,2,3.987814
-56.7,1,3.994649
-10.0,2,4.003907
-44.4,1,4.009011
-48.6,1,4.016544
-10.0,2,4.029192
-46.8,1,4.03821
-47.1,1,4.044884
-10.0,2,4.061087
-44.7,1,4.067799
-10.0,1,4.076899
-42.3,1,4.086057
-10.0,1,4.090675
-70.2,3,4.105021
-10.0,1,4.109728
-10.0,1,4.114273
-43.2,1,4.12139
-53.4,1,4.129079
-54.9,1,4.133879
-36.6,2,4.145269
-10.0,1,4.150023
-10.0,2,4.159312
-61.5,1,4.166116
-10.0,1,4.170495
-85.2,2,4.1783
-10.0,2,4.185844
-85.2,2,4.192589
-10.0,1,4.197074
-40.2,1,4.202986
-38.4,3,4.212596
-44.4,1,4.217019
-10.0,2,4.225105
-10.0,2,4.231932
-23.1,1,4.236491
-10.0,1,4.240899
-48.3,2,4.248973
-10.0,1,4.254111
-10.0,1,4.260748
-35.7,1,4.267944
-10.0,2,4.27757
-10.0,1,4.283728
-47.1,2,4.294465
-51.0,2,4.303703
-10.0,4,4.326125
-36.3,1,4.332279
-41.4,1,4.337318
-10.0,2,4.34466
-45.3,1,4.350508
-30.0,6,4.370252
-30.9,1,4.375151
-33.0,3,4.384443
-10.0,1,4.389667
-51.3,1,4.394219
-10.0,2,4.400671
-10.0,2,4.407035
-61.5,2,4.415417
-10.0,2,4.42277
-10.0,1,4.428001
-40.2,1,4.433529
-61.5,1,4.438616
-10.0,1,4.443593
-10.0,1,4.448657
-10.0,1,4.454137
-48.6,1,4.459297
-10.0,1,4.464379
-10.0,1,4.470025
-10.0,1,4.476394
-10.0,1,4.481822
-10.0,1,4.487003
-38.7,1,4.492711
-70.8,1,4.498049
-10.0,1,4.504117
-44.7,2,4.517219
-54.9,1,4.526037
-10.0,1,4.535896
-10.0,1,4.544927
-10.0,1,4.553545
-41.1,1,4.562962
-10.0,1,4.572168
-25.2,1,4.583075
-49.8,1,4.590799
-10.0,1,4.597015
-10.0,2,4.603956
-45.0,2,4.61008
-10.0,1,4.614126
-10.0,1,4.618691
-72.3,2,4.624617
-44.4,1,4.628459
-10.0,1,4.632295
-34.2,1,4.636355
-51.3,1,4.641038
-10.0,3,4.648654
-44.4,4,4.659018
-39.9,2,4.665624
-47.7,1,4.670901
-10.0,4,4.68363
-43.2,1,4.687586
-31.2,2,4.693281
-38.1,3,4.701454
-38.7,1,4.705637
-23.1,1,4.709483
-10.0,1,4.714277
-43.2,1,4.718815
-53.7,2,4.726927
-10.0,1,4.731019
-48.9,1,4.734765
-10.0,5,4.746916
-10.0,1,4.750865
-10.0,1,4.754782
-30.6,2,4.76048
-10.0,1,4.765835
-38.4,1,4.770999
-36.3,3,4.781143
-10.0,1,4.786867
-10.0,1,4.792046
-10.0,1,4.797391
-10.0,4,4.810735
-10.0,1,4.816086
-48.9,1,4.821602
-85.5,1,4.827466
-10.0,2,4.83538
-10.0,1,4.840596
-69.6,1,4.845669
-10.0,1,4.851207
-38.7,1,4.856207
-10.0,1,4.861138
-10.0,2,4.868775
-10.0,1,4.873847
-56.7,1,4.87913
-10.0,1,4.884212
-44.4,1,4.8898
-10.0,1,4.894916
-10.0,1,4.899925
-10.0,1,4.90487
-44.4,1,4.910684
-48.0,3,4.920469
-10.0,1,4.925575
-10.0,1,4.930837
-67.2,2,4.936735
-54.0,1,4.940725
-10.0,2,4.945918
-10.0,1,4.949691
-10.0,1,4.953715
-10.0,2,4.958856
-45.3,1,4.962384
-10.0,1,4.96648
-30.6,1,4.970137
-10.0,1,4.973948
-10.0,1,4.977535
-45.0,1,4.981097
