#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-40.2,1,1.921455
-65.4,1,1.926409
-45.3,1,1.931559
-10.0,2,1.938872
-65.4,1,1.943804
-42.9,1,1.948943
-49.8,1,1.953941
-10.0,1,1.95885
-10.0,1,1.964029
-35.7,1,1.969073
-10.0,3,1.978912
-36.9,1,1.984132
-10.0,4,1.997211
-54.0,1,2.003306
-42.3,2,2.011302
-67.2,1,2.01662
-33.6,1,2.021749
-48.6,1,2.027595
-56.7,1,2.032779
-10.0,3,2.042466
-42.3,1,2.047676
-37.8,3,2.057309
-25.2,1,2.063444
-10.0,1,2.068493
-43.8,3,2.078326
-10.0,1,2.083266
-43.2,1,2.088202
-46.5,2,2.096215
-10.0,1,2.101173
-31.5,3,2.111046
-10.0,1,2.116006
-43.2,1,2.120912
-48.9,1,2.126334
-61.8,1,2.131298
-35.7,1,2.136247
-35.7,1,2.141498
-45.3,1,2.146431
-10.0,1,2.151361
-10.0,2,2.158902
-10.0,2,2.166224
-10.0,1,2.171377
-42.3,1,2.176308
-10.0,1,2.181217
-40.2,1,2.186242
-10.0,1,2.191204
-10.0,1,2.19612
-25.8,1,2.201014
-10.0,1,2.206512
-45.0,1,2.211366
-48.6,1,2.216278
-48.9,1,2.221846
-10.0,1,2.227018
-10.0,4,2.244589
-10.0,2,2.258806
-10.0,1,2.267485
-10.0,1,2.276326
-25.8,1,2.286231
-54.6,2,2.300331
-10.0,1,2.310186
-10.0,2,2.323521
-53.7,1,2.335198
-10.0,2,2.346252
-47.4,1,2.351779
-31.2,1,2.361836
-39.6,6,2.381394
-35.7,1,2.386349
-25.8,1,2.391225
-38.4,1,2.396649
-10.0,1,2.401566
-41.1,1,2.406505
-10.0,1,2.413676
-10.0,1,2.419256
-10.0,1,2.424141
-10.0,1,2.429397
-10.0,2,2.436707
-10.0,1,2.441907
-31.5,1,2.44683
-43.2,1,2.451686
-10.0,1,2.456693
-53.4,3,2.466331
-10.0,1,2.471165
-61.5,1,2.476624
-10.0,2,2.48394
-48.6,1,2.489665
-45.0,2,2.500411
-10.0,1,2.506994
-85.5,1,2.515824
-10.0,2,2.529299
-10.0,1,2.539107
-10.0,1,2.547218
-48.3,2,2.559652
-72.6,1,2.568432
-44.4,1,2.576785
-45.0,1,2.584777
-10.0,1,2.594809
-10.0,1,2.604467
-87.0,1,2.612276
-10.0,1,2.617741
-10.0,1,2.623709
-10.0,1,2.629599
-49.8,1,2.638617
-56.7,1,2.646581
-10.0,1,2.655262
-10.0,1,2.663071
-54.3,3,2.676152
-43.2,1,2.682799
-10.0,1,2.689195
-10.0,1,2.695117
-10.0,2,2.704836
-42.3,1,2.710762
-45.3,1,2.717373
-47.7,1,2.723442
-70.5,2,2.733742
-10.0,1,2.739668
-10.0,2,2.748408
-93.0,2,2.757931
-48.6,1,2.76592
-42.6,1,2.771687
-25.2,1,2.777783
-45.3,1,2.783167
-10.0,1,2.788472
-10.0,1,2.794018
-48.6,1,2.800609
-28.8,1,2.80699
-10.0,1,2.814154
-39.9,2,2.824003
-29.7,1,2.830428
-10.0,1,2.836384
-53.1,2,2.84604
-10.0,1,2.851701
-65.4,1,2.858855
-48.6,1,2.865099
-25.8,1,2.871822
-42.3,2,2.880639
-10.0,2,2.892641
-54.6,2,2.902795
-49.2,1,2.908394
-10.0,1,2.9139
-10.0,2,2.922278
-30.0,4,2.940266
-10.0,2,2.95237
-44.7,1,2.958782
-10.0,3,2.97423
-10.0,1,2.979741
-32.1,1,2.985678
-31.2,1,2.992594
-10.0,1,3.001571
-10.0,1,3.00777
-52.8,5,3.026706
-54.0,1,3.033072
-10.0,1,3.040954
-10.0,1,3.050218
-39.3,4,3.064293
-10.0,1,3.069456
-10.0,1,3.074493
-31.2,1,3.081256
-10.0,1,3.0876
-28.5,2,3.100123
-10.0,1,3.10774
-10.0,3,3.121758
-39.0,1,3.129322
-29.4,2,3.139427
-10.0,1,3.147127
-25.2,1,3.153697
-34.5,1,3.160882
-10.0,1,3.166948
-31.5,1,3.173136
-51.3,1,3.178652
-70.2,3,3.191036
-10.0,5,3.213598
-10.0,1,3.21925
-28.8,1,3.224385
-10.0,3,3.234532
-10.0,3,3.246212
-10.0,1,3.254472
-33.9,2,3.263618
-10.0,1,3.269773
-10.0,1,3.277215
-10.0,2,3.286457
-33.6,1,3.291825
-36.3,1,3.297511
-10.0,1,3.302882
-10.0,1,3.308221
-10.0,1,3.314206
-10.0,1,3.320406
-72.6,1,3.325891
-10.0,3,3.338684
-39.0,1,3.345912
-53.4,2,3.356192
-10.0,1,3.362753
-10.0,1,3.368866
-10.0,2,3.377724
-42.3,1,3.384469
-43.2,2,3.398723
-10.0,2,3.410747
-33.6,1,3.418687
-10.0,4,3.440198
-10.0,1,3.448472
-67.5,1,3.456447
-10.0,2,3.472648
-32.1,1,3.480133
-10.0,1,3.488115
-44.7,2,3.500684
-10.0,1,3.513029
-47.4,1,3.523039
-10.0,1,3.529833
-65.4,1,3.53862
-10.0,1,3.548072
-10.0,1,3.555705
-10.0,1,3.562727
-10.0,1,3.570819
-47.4,1,3.575863
-53.4,2,3.581602
-10.0,1,3.586785
-42.6,3,3.592879
-10.0,3,3.598702
-10.0,1,3.60178
-10.0,1,3.604651
-10.0,1,3.607492
