#{"t_start": 1786528249.9796882, "env_id": "None"}
r,l,t
-31.2,1,11.90128
-10.0,1,11.936961
-10.0,1,11.949241
-10.0,5,11.97821
-10.0,1,11.988199
-10.0,2,12.022434
-36.3,1,12.032973
-42.9,1,12.042673
-38.4,1,12.061288
-10.0,2,12.088271
-10.0,9,12.144803
-10.0,1,12.166324
-48.3,4,12.196695
-10.0,1,12.217213
-10.0,1,12.225786
-10.0,1,12.234185
-44.7,2,12.256699
-34.2,1,12.278823
-10.0,3,12.307231
-10.0,1,12.315709
-10.0,2,12.346233
-10.0,2,12.368577
-10.0,1,12.376517
-67.2,2,12.396735
-28.5,2,12.40896
-10.0,1,12.446251
-53.7,2,12.457094
-10.0,2,12.477567
-30.9,3,12.489408
-85.5,1,12.518332
-43.2,1,12.526589
-10.0,2,12.537308
-43.2,1,12.55305
-10.0,2,12.573591
-10.0,2,12.597185
-33.6,1,12.603616
-38.1,2,12.613108
-35.7,1,12.641086
-72.0,3,12.655589
-10.0,1,12.676178
-10.0,2,12.688938
-10.0,2,12.726976
-46.5,2,12.740062
-10.0,3,12.773355
-66.9,2,12.790797
-10.0,2,12.985487
-10.0,1,12.995513
-10.0,1,13.0063
-44.1,2,13.048323
-35.7,1,13.068887
-33.6,1,13.077478
-10.0,1,13.10706
-10.0,1,13.116319
-34.2,2,13.137556
-10.0,3,13.169034
-10.0,2,13.195076
-30.9,1,13.203798
-44.4,2,13.231175
-56.4,2,13.258926
-10.0,2,13.273233
-87.0,1,13.296163
-10.0,1,13.319451
-10.0,1,13.328737
-10.0,1,13.337146
-41.1,2,13.360222
-46.5,2,13.384915
-66.9,2,13.410372
-10.0,1,13.42064
-42.6,2,13.442724
-54.6,2,13.464071
-10.0,1,13.471497
-10.0,1,13.487014
-56.4,2,13.495583
-45.0,2,13.531715
-10.0,4,13.558669
-10.0,1,13.567596
-10.0,1,13.577312
-10.0,1,13.59743
-10.0,1,13.620667
-10.0,2,13.635845
-48.3,2,13.669765
-25.2,1,13.697058
-44.4,1,13.70881
-10.0,4,13.748843
-10.0,3,13.781173
-10.0,3,13.828648
-10.0,1,13.83945
-61.5,2,13.853295
-64.5,4,13.884531
-42.6,2,13.923717
-42.0,2,13.936237
-10.0,2,13.960576
-10.0,4,13.989733
-47.1,2,14.013838
-30.9,1,14.038031
-51.3,1,14.047928
-10.0,1,14.062361
-10.0,2,14.102419
-30.9,1,14.111011
-10.0,1,14.116487
-10.0,2,14.132798
-35.7,1,14.150689
-10.0,1,14.159854
-10.0,1,14.167751
-10.0,1,14.185097
-10.0,1,14.205728
-54.0,1,14.214576
-42.9,2,14.236579
-10.0,2,14.243056
-42.6,4,14.278371
-42.9,1,14.285457
-10.0,1,14.302588
-51.3,1,14.30971
-33.6,4,14.342171
-10.0,1,14.348657
-42.6,2,14.365794
-10.0,1,14.373298
-10.0,3,14.406944
-61.5,3,14.420044
-10.0,2,14.437007
-10.0,1,14.444624
-10.0,3,14.477759
-10.0,2,14.48832
-10.0,1,14.505215
-10.0,1,14.511805
-10.0,2,14.529973
-10.0,2,14.550511
-53.4,1,14.557061
-10.0,1,14.564515
-35.7,1,14.58687
-36.3,1,14.592103
-48.0,3,14.611109
-10.0,1,14.62079
-10.0,1,14.644472
-10.0,2,14.675068
-33.6,1,14.683994
-41.4,3,14.712512
-10.0,2,14.738685
-10.0,1,14.74776
-10.0,2,14.768502
-31.5,1,14.777804
-10.0,1,14.799648
-48.6,1,14.820725
-10.0,1,14.82613
-46.8,1,14.834727
-60.6,6,14.88975
-70.8,1,14.896872
-42.9,2,14.906764
-35.1,1,14.924226
-33.6,3,14.948372
-38.7,1,14.969479
-70.5,2,14.983214
-44.1,2,15.012059
-10.0,1,15.032825
-33.3,2,15.044232
-42.9,1,15.064814
-10.0,2,15.075452
-10.0,3,15.105546
-10.0,1,15.113062
-10.0,1,15.12118
-10.0,1,15.138842
-10.0,2,15.161005
-54.6,2,15.180646
-10.0,1,15.187812
-56.4,2,15.198312
-38.4,1,15.223186
-10.0,1,15.227419
-10.0,1,15.233994
-34.5,1,15.239941
-72.6,1,15.261344
-10.0,2,15.267865
-42.3,1,15.274991
-33.6,1,15.288203
-10.0,1,15.3049
-31.2,1,15.311209
-10.0,4,15.330913
-40.2,4,15.352651
-10.0,1,15.368756
-54.9,1,15.385437
-10.0,1,15.392065
-10.0,1,15.398165
-10.0,2,15.436193
-78.6,1,15.445032
-42.0,1,15.451657
-85.2,2,15.471796
-10.0,2,15.49388
-33.6,1,15.501023
-44.7,3,15.52606
-10.0,1,15.533807
-10.0,2,15.564826
-10.0,3,15.593904
-10.0,1,15.604985
-10.0,3,15.634207
-46.8,1,15.655369
-69.6,1,15.664015
-41.1,1,15.673491
-10.0,1,15.698026
-10.0,1,15.720967
-10.0,1,15.730015
-10.0,1,15.738957
-10.0,1,15.758437
-10.0,3,15.787202
-45.3,1,15.8057
-66.6,4,15.830355
-36.3,1,15.837753
-30.9,5,15.875762
-61.8,2,15.892921
-34.5,1,15.900903
-56.7,1,15.909707
-10.0,1,15.928727
-48.9,1,15.946656
-10.0,1,15.952578
-10.0,1,15.960283
-10.0,1,15.978041
-10.0,1,15.995719
-78.3,2,16.005158
-56.4,2,16.02499
-33.3,2,16.047187
-10.0,2,16.073313
-10.0,1,16.081651
-10.0,2,16.092081
-10.0,2,16.122879
-28.5,2,16.133636
-43.2,1,16.150286
-10.0,1,16.157719
-30.9,1,16.176641
-10.0,1,16.183759
-10.0,1,16.202309
-10.0,2,16.211297
-10.0,1,16.229197
-39.9,2,16.249401
-10.0,1,16.256091
-10.0,1,16.26371
-10.0,1,16.290985
-10.0,1,16.298494
-31.2,1,16.305853
-10.0,2,16.323585
-35.4,2,16.344417
-45.3,1,16.350896
-10.0,5,16.383117
-10.0,3,16.394038
-34.2,1,16.417752
-61.5,1,16.425331
-10.0,2,16.434633
-53.7,1,16.449534
-10.0,2,16.467292
-28.2,3,16.484597
-10.0,1,16.49045
-10.0,1,16.496033
-41.1,1,16.519402
-10.0,1,16.525715
-85.5,1,16.534208
-56.1,3,16.551668
-49.2,3,16.585963
-62.4,1,16.593345
-10.0,2,16.603213
