algo,seed,step,episode_return
dqn,0,368,-45.3
dqn,0,369,-10.0
dqn,0,370,-10.0
dqn,0,371,-10.0
dqn,0,372,-44.4
dqn,0,373,-10.0
dqn,0,374,-10.0
dqn,0,376,-42.9
dqn,0,379,-10.0
dqn,0,381,-10.0
dqn,0,382,-10.0
dqn,0,384,-10.0
dqn,0,385,-33.6
dqn,0,386,-10.0
dqn,0,387,-10.0
dqn,0,388,-56.7
dqn,0,389,-54.0
dqn,0,390,-10.0
dqn,0,392,-66.9
dqn,0,393,-10.0
dqn,0,396,-10.0
dqn,0,397,-62.4
dqn,0,398,-10.0
dqn,0,399,-61.5
dqn,0,402,-33.0
dqn,0,403,-10.0
dqn,0,405,-43.2
dqn,0,406,-44.1
dqn,0,408,-48.6
dqn,0,409,-10.0
dqn,0,410,-10.0
dqn,0,411,-10.0
dqn,0,412,-85.5
dqn,0,413,-69.6
dqn,0,414,-10.0
dqn,0,416,-10.0
dqn,0,418,-66.9
dqn,0,419,-10.0
dqn,0,420,-36.3
dqn,0,422,-38.1
dqn,0,423,-41.1
dqn,0,424,-10.0
dqn,0,425,-46.8
dqn,0,426,-10.0
dqn,0,427,-10.0
dqn,0,430,-64.8
dqn,0,431,-25.2
dqn,0,432,-69.6
dqn,0,433,-10.0
dqn,0,436,-10.0
dqn,0,437,-72.6
dqn,0,438,-10.0
dqn,0,440,-10.0
dqn,0,441,-10.0
dqn,0,445,-71.7
dqn,0,447,-10.0
dqn,0,448,-10.0
dqn,0,451,-56.1
dqn,0,452,-35.7
dqn,0,453,-10.0
dqn,0,455,-10.0
dqn,0,456,-10.0
dqn,0,457,-10.0
dqn,0,462,-42.0
dqn,0,467,-10.0
dqn,0,468,-10.0
dqn,0,469,-47.1
dqn,0,470,-10.0
dqn,0,471,-69.6
dqn,0,476,-10.0
dqn,0,478,-33.3
dqn,0,481,-10.0
dqn,0,483,-37.8
dqn,0,484,-10.0
dqn,0,485,-41.1
dqn,0,487,-10.0
dqn,0,488,-10.0
dqn,0,492,-41.4
dqn,0,495,-10.0
dqn,0,496,-10.0
dqn,0,497,-10.0
dqn,0,498,-44.1
dqn,0,499,-31.5
dqn,0,501,-10.0
dqn,0,502,-54.0
dqn,0,507,-10.0
dqn,0,509,-10.0
dqn,0,510,-40.2
dqn,0,511,-31.5
dqn,0,512,-10.0
dqn,0,513,-10.0
dqn,0,514,-69.6
dqn,0,515,-49.8
dqn,0,516,-10.0
dqn,0,517,-48.6
dqn,0,518,-69.6
dqn,0,519,-10.0
dqn,0,520,-10.0
dqn,0,522,-44.4
dqn,0,523,-10.0
dqn,0,525,-41.7
dqn,0,526,-62.4
dqn,0,528,-10.0
dqn,0,529,-10.0
dqn,0,531,-49.5
dqn,0,532,-10.0
dqn,0,534,-48.6
dqn,0,536,-33.9
dqn,0,538,-10.0
dqn,0,539,-10.0
dqn,0,541,-10.0
dqn,0,542,-10.0
dqn,0,544,-10.0
dqn,0,545,-10.0
dqn,0,547,-10.0
dqn,0,548,-10.0
dqn,0,550,-37.8
dqn,0,551,-10.0
dqn,0,552,-10.0
dqn,0,554,-25.5
dqn,0,555,-46.8
dqn,0,556,-10.0
dqn,0,557,-44.4
dqn,0,558,-65.4
dqn,0,559,-48.6
dqn,0,560,-72.6
dqn,0,562,-10.0
dqn,0,563,-93.3
dqn,0,566,-40.5
dqn,0,567,-10.0
dqn,0,569,-10.0
dqn,0,573,-27.9
dqn,0,574,-10.0
dqn,0,576,-10.0
dqn,0,578,-10.0
dqn,0,582,-10.0
dqn,0,585,-54.3
dqn,0,587,-10.0
dqn,0,588,-43.2
dqn,0,589,-10.0
dqn,0,590,-43.2
dqn,0,591,-54.9
dqn,0,592,-45.0
dqn,0,593,-10.0
dqn,0,594,-40.2
dqn,0,595,-10.0
dqn,0,599,-27.9
dqn,0,601,-10.0
dqn,0,603,-10.0
dqn,0,604,-10.0
dqn,0,607,-10.0
dqn,0,608,-53.4
dqn,0,609,-31.5
dqn,0,610,-10.0
dqn,0,613,-53.4
dqn,0,614,-10.0
dqn,0,617,-41.4
dqn,0,618,-40.2
dqn,0,620,-31.8
dqn,0,621,-35.7
dqn,0,622,-44.4
dqn,0,625,-28.2
dqn,0,626,-10.0
dqn,0,629,-10.0
dqn,0,631,-10.0
dqn,0,632,-31.2
dqn,0,633,-10.0
dqn,0,634,-49.8
dqn,0,635,-10.0
dqn,0,636,-45.0
dqn,0,637,-29.7
dqn,0,638,-48.6
dqn,0,641,-10.0
dqn,0,642,-67.2
dqn,0,643,-53.4
dqn,0,645,-10.0
dqn,0,646,-10.0
dqn,0,647,-93.3
dqn,0,649,-10.0
dqn,0,650,-31.2
dqn,0,651,-10.0
dqn,0,653,-46.8
dqn,0,654,-10.0
dqn,0,657,-33.6
dqn,0,658,-10.0
dqn,0,659,-10.0
dqn,0,660,-10.0
dqn,0,661,-31.5
dqn,0,662,-48.6
dqn,0,663,-28.8
dqn,0,665,-10.0
dqn,0,668,-10.0
dqn,0,671,-10.0
dqn,0,673,-10.0
dqn,0,674,-10.0
dqn,0,676,-30.9
dqn,0,679,-86.4
dqn,0,680,-34.2
dqn,0,681,-10.0
dqn,0,682,-10.0
dqn,0,685,-10.0
dqn,0,688,-33.0
dqn,0,691,-10.0
dqn,0,692,-10.0
dqn,0,694,-37.8
dqn,0,695,-44.4
dqn,0,697,-69.3
dqn,0,698,-10.0
dqn,0,699,-44.1
dqn,0,703,-40.5
dqn,0,704,-67.5
dqn,0,706,-31.2
dqn,0,708,-44.1
dqn,0,710,-10.0
dqn,0,712,-10.0
dqn,0,714,-35.4
dqn,0,715,-10.0
dqn,0,717,-10.0
dqn,0,718,-48.9
dqn,0,719,-53.4
dqn,0,723,-10.0
dqn,0,724,-93.3
dqn,0,725,-10.0
dqn,0,728,-10.0
dqn,0,729,-51.3
dqn,0,730,-10.0
dqn,0,731,-28.8
dqn,0,734,-30.9
dqn,0,739,-53.7
dqn,0,740,-34.5
dqn,0,741,-56.7
dqn,0,742,-85.5
dqn,0,743,-10.0
dqn,0,744,-10.0
dqn,0,745,-10.0
dqn,0,748,-48.0
dqn,0,749,-32.1
dqn,0,750,-10.0
dqn,0,751,-10.0
dqn,0,752,-10.0
dqn,0,757,-10.0
dqn,0,758,-30.6
dqn,0,759,-10.0
dqn,0,762,-64.2
dqn,0,765,-10.0
dqn,0,767,-10.0
dqn,0,769,-39.9
dqn,0,770,-10.0
dqn,0,771,-45.3
dqn,0,772,-10.0
dqn,0,776,-86.1
dqn,0,780,-48.9
dqn,0,781,-62.4
dqn,0,783,-42.3
dqn,0,784,-10.0
dqn,0,785,-10.0
dqn,0,787,-10.0
dqn,0,789,-48.3
dqn,0,790,-44.7
dqn,0,791,-25.8
dqn,0,792,-10.0
dqn,0,794,-35.4
dqn,0,795,-10.0
dqn,0,796,-35.7
dqn,0,797,-49.2
dqn,0,799,-10.0
dqn,0,804,-45.6
dqn,0,805,-70.8
dqn,0,806,-48.6
dqn,0,807,-10.0
dqn,0,808,-45.0
dqn,0,809,-10.0
dqn,0,814,-45.9
dqn,0,815,-10.0
dqn,0,818,-43.8
dqn,0,819,-10.0
dqn,0,821,-10.0
dqn,0,822,-10.0
dqn,0,823,-44.7
dqn,0,826,-39.6
dqn,0,827,-10.0
dqn,0,829,-10.0
dqn,0,831,-10.0
dqn,0,832,-43.5
dqn,0,833,-10.0
dqn,0,834,-10.0
dqn,0,835,-10.0
dqn,0,836,-10.0
dqn,0,838,-10.0
dqn,0,839,-28.8
dqn,0,840,-10.0
dqn,0,841,-31.2
dqn,0,842,-10.0
dqn,0,845,-42.6
dqn,0,847,-10.0
dqn,0,848,-10.0
dqn,0,850,-10.0
dqn,0,852,-42.6
dqn,0,854,-10.0
dqn,0,855,-54.9
dqn,0,856,-10.0
dqn,0,859,-40.5
dqn,0,860,-10.0
dqn,0,861,-10.0
dqn,0,867,-10.0
dqn,0,869,-38.1
dqn,0,871,-10.0
dqn,0,872,-10.0
dqn,0,875,-40.5
dqn,0,877,-10.0
dqn,0,878,-46.8
dqn,0,882,-10.0
dqn,0,883,-31.5
dqn,0,884,-10.0
dqn,0,885,-10.0
dqn,0,886,-43.5
dqn,0,887,-10.0
dqn,0,888,-10.0
dqn,0,889,-10.0
dqn,0,890,-48.6
dqn,0,891,-87.0
dqn,0,892,-10.0
dqn,0,893,-10.0
dqn,0,894,-53.7
dqn,0,895,-10.0
dqn,0,897,-10.0
dqn,0,899,-10.0
dqn,0,900,-87.0
dqn,0,901,-42.9
dqn,0,904,-33.6
dqn,0,907,-30.3
dqn,0,908,-10.0
dqn,0,911,-10.0
dqn,0,916,-48.6
dqn,0,919,-50.7
dqn,0,920,-34.2
dqn,0,923,-10.0
dqn,0,925,-10.0
dqn,0,927,-10.0
dqn,0,931,-60.6
dqn,0,933,-53.7
dqn,0,934,-70.8
dqn,0,935,-46.8
dqn,0,936,-10.0
dqn,0,937,-10.0
dqn,0,940,-54.3
dqn,0,941,-10.0
dqn,0,942,-10.0
dqn,0,943,-10.0
dqn,0,945,-33.3
dqn,0,946,-62.1
dqn,0,947,-42.9
dqn,0,950,-92.7
dqn,0,952,-31.8
dqn,0,954,-72.3
dqn,0,955,-10.0
dqn,0,956,-10.0
dqn,0,957,-10.0
dqn,0,961,-53.1
dqn,0,963,-10.0
dqn,0,965,-10.0
dqn,0,967,-33.3
dqn,0,971,-10.0
dqn,0,972,-10.0
dqn,0,973,-25.8
dqn,0,974,-10.0
dqn,0,975,-72.6
dqn,0,976,-10.0
dqn,0,980,-60.9
dqn,0,981,-10.0
dqn,0,982,-10.0
dqn,0,983,-10.0
dqn,0,986,-10.0
dqn,0,988,-33.3
dqn,0,989,-32.1
dqn,0,990,-56.7
dqn,0,992,-42.9
dqn,0,993,-44.7
dqn,0,995,-10.0
dqn,0,996,-10.0
dqn,0,997,-47.7
dqn,0,1000,-43.8
dqn,0,1003,-41.7
dqn,0,1004,-10.0
dqn,0,1005,-10.0
dqn,0,1006,-10.0
dqn,0,1009,-10.0
dqn,0,1013,-41.1
dqn,0,1015,-10.0
dqn,0,1017,-42.9
dqn,0,1019,-33.3
dqn,0,1022,-30.9
dqn,0,1025,-10.0
dqn,0,1026,-44.7
dqn,0,1029,-10.0
dqn,0,1032,-10.0
dqn,0,1036,-24.9
dqn,0,1039,-44.1
dqn,0,1040,-49.2
dqn,0,1043,-39.6
dqn,0,1045,-10.0
dqn,0,1046,-10.0
dqn,0,1047,-10.0
dqn,0,1050,-10.0
dqn,0,1051,-10.0
dqn,0,1052,-43.2
dqn,0,1053,-44.7
dqn,0,1057,-10.0
dqn,0,1058,-43.2
dqn,0,1059,-10.0
dqn,0,1061,-44.1
