#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-10.0,1,2.712986
-10.0,1,2.719783
-10.0,3,2.726653
-55.8,4,2.739119
-10.0,3,2.748124
-42.9,1,2.754605
-10.0,2,2.75849
-10.0,1,2.765378
-67.2,1,2.768276
-35.1,3,2.780766
-10.0,2,2.785726
-10.0,1,2.78837
-10.0,2,2.795458
-54.0,1,2.802235
-42.3,2,2.808829
-67.2,1,2.811812
-10.0,1,2.814905
-48.0,3,2.831315
-56.4,2,2.837121
-10.0,3,2.84965
-10.0,1,2.852988
-37.8,3,2.868679
-25.2,1,2.871351
-10.0,2,2.877691
-10.0,5,2.888798
-53.4,3,2.900772
-10.0,2,2.903883
-10.0,1,2.910239
-10.0,1,2.91359
-10.0,1,2.921855
-10.0,6,2.940635
-10.0,2,2.944555
-47.7,5,2.951629
-61.8,1,2.96357
-35.4,2,2.96619
-10.0,2,2.972922
-10.0,1,2.974981
-10.0,1,2.981477
-10.0,2,2.987657
-10.0,1,2.989669
-10.0,1,2.991405
-42.3,1,2.998418
-10.0,2,3.00886
-40.2,1,3.01198
-35.7,1,3.014809
-23.1,1,3.026375
-25.8,1,3.029625
-66.9,10,3.051464
-10.0,1,3.061453
-47.7,4,3.074463
-10.0,2,3.078047
-41.1,1,3.080142
-53.4,3,3.087669
-61.2,3,3.103786
-36.9,1,3.106769
-10.0,1,3.110123
-25.8,1,3.117632
-10.0,1,3.125988
-30.9,1,3.129394
-10.0,1,3.131957
-10.0,2,3.141284
-48.3,2,3.150095
-10.0,1,3.158599
-31.2,1,3.16182
-10.0,4,3.169127
-35.7,1,3.179073
-25.8,1,3.182328
-10.0,1,3.19053
-10.0,2,3.194554
-10.0,3,3.20889
-48.3,2,3.21317
-10.0,2,3.224115
-10.0,2,3.228096
-10.0,1,3.240896
-31.5,1,3.244361
-54.0,1,3.24757
-10.0,1,3.250406
-42.9,2,3.264315
-44.4,1,3.266494
-10.0,5,3.277883
-46.8,1,3.283019
-10.0,2,3.29372
-10.0,6,3.310879
-10.0,1,3.314486
-45.3,1,3.317539
-61.8,3,3.333134
-10.0,5,3.343505
-10.0,1,3.346152
-47.4,1,3.350878
-43.2,1,3.358139
-48.6,1,3.361328
-72.6,1,3.364312
-44.4,1,3.372584
-44.7,2,3.381153
-43.8,2,3.389417
-10.0,3,3.392543
-10.0,4,3.402602
-35.1,1,3.415508
-34.5,1,3.417704
-42.3,1,3.421316
-10.0,1,3.4245
-55.8,4,3.439657
-35.7,1,3.446025
-31.2,2,3.449673
-54.9,1,3.453664
-42.3,4,3.473644
-10.0,1,3.481172
-10.0,4,3.492089
-10.0,1,3.49521
-10.0,1,3.504163
-44.4,4,3.51456
-47.4,2,3.522228
-10.0,1,3.525355
-10.0,1,3.533171
-44.1,2,3.54219
-92.7,3,3.546447
-10.0,4,3.555147
-42.3,2,3.567015
-10.0,1,3.571863
-45.3,1,3.574871
-33.9,2,3.583015
-34.2,1,3.589855
-10.0,1,3.593235
-27.3,6,3.608615
-10.0,1,3.612679
-40.2,1,3.622351
-10.0,1,3.630927
-47.1,2,3.635311
-53.1,2,3.643698
-10.0,1,3.653746
-10.0,1,3.656568
-10.0,1,3.65896
-25.5,2,3.668422
-42.6,1,3.675557
-10.0,1,3.679116
-10.0,1,3.689398
-10.0,1,3.692812
-43.2,1,3.704648
-30.9,1,3.708598
-30.6,2,3.720075
-53.7,1,3.723215
-44.7,1,3.732386
-10.0,3,3.745125
