#{"t_start": 1787247827.1493297, "env_id": "None"}
r,l,t
-54.0,1,0.123384
-48.6,1,0.126218
-10.0,1,0.128684
-10.0,1,0.131308
-10.0,3,0.140881
-10.0,1,0.14418
-10.0,3,0.149508
-69.6,1,0.152499
-10.0,2,0.16012
-41.7,2,0.164837
-38.1,1,0.168105
-46.8,1,0.172352
-10.0,3,0.186136
-10.0,1,0.192686
-10.0,1,0.198057
-49.5,1,0.20258
-10.0,1,0.214918
-42.3,2,0.223101
-10.0,1,0.230077
-37.5,4,0.23922
-10.0,1,0.249536
-47.4,2,0.256005
-64.8,1,0.261745
-10.0,1,0.268043
-48.6,2,0.278945
-10.0,3,0.284652
-60.9,3,0.300088
-44.4,1,0.309983
-10.0,2,0.338123
-10.0,1,0.348016
-10.0,1,0.356484
-10.0,2,0.366562
-31.2,2,0.385304
-10.0,1,0.392428
-10.0,2,0.399789
-10.0,3,0.406942
-25.2,1,0.428842
-43.2,1,0.435362
-48.0,3,0.443153
-31.5,1,0.447806
-70.8,1,0.464914
-10.0,1,0.468882
-62.4,1,0.471265
-33.6,1,0.47454
-10.0,1,0.48004
-10.0,1,0.482749
-35.7,1,0.485514
-10.0,2,0.489178
-53.4,1,0.497835
-10.0,1,0.501565
-51.3,1,0.505541
-48.6,1,0.508601
-42.6,2,0.520524
-42.6,1,0.523747
-10.0,1,0.526322
-10.0,1,0.529222
-48.3,2,0.540069
-10.0,1,0.543458
-44.4,2,0.547706
-10.0,1,0.55088
-46.8,1,0.560818
-48.6,1,0.564927
-10.0,1,0.568999
-35.7,1,0.572412
-10.0,1,0.580995
-10.0,1,0.585142
-60.9,3,0.590055
-10.0,1,0.592663
-10.0,2,0.602001
-10.0,1,0.605764
-10.0,1,0.608615
-10.0,1,0.616455
-46.5,2,0.627548
-10.0,1,0.632233
-48.6,1,0.639616
-42.9,2,0.645643
-10.0,3,0.666731
-10.0,1,0.672353
-10.0,1,0.678619
-10.0,1,0.692126
-10.0,1,0.703285
-30.3,2,0.708976
-54.0,1,0.720803
-10.0,2,0.728544
-10.0,2,0.748923
-36.3,1,0.754379
-10.0,2,0.759416
-31.5,1,0.767913
-10.0,1,0.776677
-10.0,1,0.779741
-53.7,2,0.791168
-10.0,2,0.795774
-44.4,1,0.809665
-10.0,1,0.822003
-10.0,1,0.827436
-10.0,1,0.833401
-10.0,1,0.845301
-10.0,1,0.85591
-42.0,3,0.861611
-48.9,1,0.86967
-10.0,1,0.877996
-10.0,1,0.882576
-47.7,1,0.888242
-44.4,1,0.900847
-48.6,1,0.912397
-10.0,1,0.915899
-66.9,2,0.92374
-10.0,1,0.92597
-32.1,1,0.932924
-10.0,1,0.937287
-10.0,1,0.945276
-10.0,1,0.949674
-45.3,1,0.959364
-10.0,1,0.963364
-78.3,2,0.972994
-10.0,3,0.984038
-10.0,1,0.991924
-10.0,1,0.995981
-10.0,2,1.003344
-10.0,1,1.006788
-10.0,3,1.020621
-10.0,1,1.02278
-87.0,1,1.025585
-41.7,3,1.039277
-10.0,2,1.050843
-10.0,4,1.067656
-10.0,1,1.075861
-48.3,2,1.08053
-43.5,1,1.088546
-64.8,1,1.096378
-44.4,2,1.102877
-33.3,2,1.111295
-54.0,1,1.123392
-45.3,1,1.127407
-25.5,2,1.136205
-69.6,1,1.139827
-10.0,1,1.148235
-56.7,1,1.153299
-10.0,3,1.168648
-45.3,1,1.173952
-30.9,1,1.195592
-47.1,2,1.200247
-10.0,1,1.204099
-10.0,1,1.212672
-38.7,2,1.222053
-10.0,2,1.231947
-39.9,2,1.235706
-10.0,1,1.238734
-28.8,1,1.252193
-10.0,1,1.256602
-10.0,2,1.260964
-10.0,1,1.274692
-10.0,7,1.298126
-10.0,2,1.308308
-10.0,1,1.311967
-10.0,2,1.322766
-10.0,1,1.332682
-72.0,3,1.344912
-48.6,2,1.351262
-49.8,1,1.354901
-29.7,1,1.367242
-78.6,1,1.371146
-31.5,1,1.373711
-53.4,2,1.383406
-44.4,1,1.392415
-10.0,1,1.395854
-10.0,1,1.398436
-10.0,1,1.40313
-48.6,1,1.409935
-64.8,1,1.414063
-41.7,2,1.421389
-62.4,1,1.424963
-54.0,1,1.432672
-71.4,5,1.443378
-10.0,4,1.4551
-10.0,2,1.463209
-46.8,1,1.473396
-10.0,2,1.483656
-10.0,1,1.486736
-10.0,1,1.489908
-10.0,2,1.503449
-10.0,1,1.506827
-10.0,1,1.509457
-10.0,1,1.511413
-25.8,1,1.524768
-41.1,1,1.529306
-10.0,1,1.533178
-10.0,1,1.536937
-10.0,2,1.549772
-31.5,1,1.552524
-67.2,1,1.556444
-46.8,1,1.563752
-39.6,3,1.574663
-56.4,2,1.584915
-10.0,4,1.593726
-69.6,1,1.596739
-10.0,2,1.611029
-10.0,1,1.614336
-10.0,2,1.618181
-10.0,1,1.627084
-10.0,1,1.635085
-45.3,1,1.638103
-10.0,1,1.641908
-10.0,3,1.651087
-49.8,1,1.660502
-38.1,1,1.668811
-10.0,1,1.672357
-69.3,2,1.677054
-10.0,1,1.688154
-10.0,1,1.690328
-10.0,2,1.694991
-10.0,1,1.702559
-10.0,1,1.711857
-10.0,2,1.716818
-48.3,2,1.730679
-10.0,1,1.736265
-10.0,3,1.75897
-44.7,1,1.763745
-29.7,1,1.769458
-10.0,1,1.781366
-10.0,1,1.795075
-44.1,2,1.802651
-10.0,1,1.816968
-10.0,1,1.822054
-30.9,1,1.833994
-44.4,1,1.839388
-31.2,1,1.852758
-30.0,4,1.870282
-10.0,1,1.882171
-10.0,1,1.886603
-10.0,1,1.891722
-10.0,5,1.917587
-10.0,1,1.929306
-10.0,1,1.935607
-10.0,1,1.941135
-46.8,1,1.953767
-10.0,1,1.966191
-78.6,1,1.971065
-28.8,1,1.976996
-61.5,1,1.990409
-35.1,1,2.003216
-53.7,2,2.010938
-10.0,1,2.023625
-64.5,2,2.031122
-24.9,4,2.054791
-48.6,1,2.062352
-10.0,1,2.072479
-10.0,1,2.077194
-33.3,2,2.091816
-10.0,2,2.107332
-10.0,1,2.112473
-35.7,1,2.116733
-10.0,1,2.136883
-56.4,2,2.144201
-10.0,1,2.148212
-43.2,1,2.156795
-10.0,2,2.170028
-33.3,2,2.182592
-10.0,1,2.188413
-42.0,1,2.193411
-10.0,3,2.215816
-41.7,2,2.22305
-10.0,2,2.238463
-10.0,1,2.243927
-38.7,1,2.254979
-31.5,1,2.266746
-49.8,1,2.27195
-10.0,1,2.276938
-10.0,1,2.290711
-40.2,1,2.303474
-46.5,3,2.312203
-47.7,1,2.323675
-48.6,1,2.335426
-10.0,1,2.341463
-39.0,1,2.345495
-10.0,1,2.356608
-39.9,2,2.370687
-92.4,4,2.386417
-31.8,2,2.399644
-10.0,1,2.40367
-10.0,1,2.415707
-29.7,1,2.421067
-45.0,1,2.433638
-10.0,2,2.44056
-10.0,2,2.462045
-45.0,2,2.468967
-30.0,6,2.498472
-10.0,1,2.503644
-10.0,1,2.516367
-48.3,2,2.527667
-10.0,2,2.532785
-10.0,1,2.537146
-85.5,1,2.556657
-42.9,1,2.561728
-30.9,1,2.565265
-10.0,1,2.568761
-39.9,2,2.588463
-10.0,2,2.596652
-87.0,1,2.608753
-46.8,1,2.613991
-10.0,2,2.628279
-45.0,2,2.639523
-10.0,1,2.645612
-49.5,1,2.650662
-34.5,1,2.670436
-42.9,1,2.675894
-10.0,3,2.692101
-10.0,1,2.697848
-10.0,3,2.726484
-33.6,1,2.731994
-10.0,1,2.73716
-10.0,2,2.750229
-10.0,1,2.760232
-10.0,1,2.765692
-30.9,2,2.779794
-40.2,4,2.795494
-10.0,3,2.812469
-28.5,2,2.827959
-51.3,1,2.833892
-40.8,2,2.847985
-10.0,1,2.861237
-10.0,1,2.870785
-10.0,2,2.883422
-10.0,3,2.891418
-70.8,1,2.908685
-10.0,1,2.914119
-56.7,1,2.918494
-10.0,1,2.923316
-40.2,1,2.94328
-10.0,1,2.948444
-10.0,1,2.953747
-54.0,4,2.966398
-46.8,1,2.979235
-10.0,3,2.991443
-25.8,1,2.996722
