#{"t_start": 1786475270.7516503, "env_id": "None"}
r,l,t
-30.0,5,7.497691
-40.2,1,7.504492
-53.7,2,7.516008
-32.1,1,7.524903
-10.0,1,7.533724
-38.4,2,7.547152
-36.3,1,7.553668
-10.0,2,7.566544
-10.0,1,7.571975
-47.4,1,7.577184
-85.5,1,7.582213
-10.0,3,7.595978
-10.0,2,7.609257
-10.0,2,7.621962
-10.0,5,7.640196
-10.0,1,7.649691
-45.0,1,7.655803
-34.2,1,7.664867
-10.0,1,7.670906
-44.1,2,7.679405
-44.1,1,7.685035
-32.1,1,7.690564
-61.8,2,7.69913
-67.2,2,7.708204
-28.5,2,7.719383
-42.6,1,7.725941
-54.0,1,7.731632
-56.7,1,7.736961
-31.5,1,7.745985
-85.2,2,7.759715
-43.2,1,7.769331
-42.0,3,7.783551
-42.9,2,7.79637
-10.0,1,7.804609
-10.0,1,7.813317
-10.0,1,7.82267
-38.4,1,7.829916
-35.7,1,7.835532
-10.0,1,7.841992
-42.3,1,7.848523
-10.0,1,7.8564
-10.0,1,7.862783
-10.0,1,7.868168
-10.0,1,7.875009
-10.0,1,7.88028
-42.0,1,7.885545
-56.4,2,7.893874
-10.0,1,7.899127
-44.4,1,7.904832
-10.0,1,7.912212
-33.3,2,7.924212
-53.7,1,7.93275
-45.3,1,7.941922
-10.0,2,7.954786
-10.0,2,7.964858
-62.1,1,7.971971
-30.9,1,7.981172
-44.4,2,7.991495
-10.0,1,7.997359
-38.4,2,8.005234
-87.0,1,8.012245
-10.0,2,8.02042
-10.0,3,8.032042
-10.0,1,8.037234
-40.8,3,8.04899
-46.8,1,8.054167
-67.2,1,8.060722
-10.0,1,8.066009
-10.0,3,8.07939
-10.0,1,8.088279
-72.0,3,8.105945
-48.9,1,8.115002
-10.0,1,8.123848
-10.0,2,8.154147
-10.0,1,8.196395
-42.9,2,8.215756
-10.0,2,8.23408
-69.6,1,8.243463
-42.9,1,8.251615
-36.9,1,8.262883
-10.0,4,8.284316
-25.2,1,8.293652
-44.1,2,8.303833
-10.0,2,8.315475
-10.0,1,8.323266
-32.1,1,8.328386
-10.0,1,8.332738
-10.0,3,8.343112
-65.4,1,8.348879
-42.6,2,8.361982
-42.3,1,8.367928
-10.0,2,8.389371
-10.0,1,8.401523
-47.1,2,8.416306
-10.0,1,8.425
-10.0,1,8.432831
-52.8,3,8.456231
-10.0,1,8.46867
-30.9,1,8.478556
-35.1,1,8.486579
-10.0,2,8.502978
-10.0,2,8.516784
-10.0,2,8.530386
-48.9,1,8.540236
-10.0,1,8.551123
-10.0,3,8.578315
-53.7,2,8.631849
-42.9,2,8.658748
-10.0,2,8.674802
-43.5,1,8.685344
-10.0,1,8.693291
-10.0,1,8.705945
-10.0,1,8.719166
-33.9,3,8.749249
-10.0,2,8.762626
-10.0,1,8.770786
-31.5,1,8.778007
-41.7,3,8.789591
-10.0,1,8.795373
-69.6,1,8.803892
-53.1,3,8.814902
-41.4,1,8.821234
-10.0,1,8.82858
-10.0,1,8.836906
-10.0,1,8.844147
-10.0,1,8.850968
-10.0,4,8.868032
-10.0,7,8.894647
-43.2,1,8.900856
-35.4,2,8.911868
-10.0,1,8.916693
-10.0,2,8.927104
-48.6,1,8.932251
-10.0,2,8.93981
-10.0,1,8.946012
-33.3,2,8.951778
-42.0,1,8.959219
-10.0,1,8.962948
-53.1,4,8.973594
-10.0,2,8.981405
-31.5,1,8.986358
-44.1,1,8.991346
-10.0,1,8.995916
-10.0,2,9.002108
-46.5,2,9.009038
-62.1,1,9.012579
-70.8,1,9.01604
-43.2,1,9.019205
-10.0,1,9.023028
-10.0,1,9.026583
-38.4,2,9.031452
-70.2,3,9.039753
-10.0,1,9.044352
-44.1,5,9.057983
-10.0,1,9.062114
-10.0,2,9.067724
-10.0,1,9.071576
-30.9,2,9.07837
-25.8,1,9.083031
-30.6,2,9.090897
-10.0,3,9.101411
-43.2,2,9.111066
-10.0,3,9.121307
-10.0,3,9.131893
-10.0,1,9.13692
-10.0,1,9.142899
-48.6,1,9.149063
-10.0,1,9.157054
-10.0,3,9.175403
-10.0,2,9.184314
-38.4,2,9.195324
-10.0,1,9.201185
-10.0,2,9.210815
-10.0,2,9.220449
-31.2,1,9.226903
-44.7,2,9.235469
-40.8,2,9.24545
-10.0,1,9.250759
-54.9,1,9.260061
-10.0,3,9.276848
-10.0,1,9.283667
-10.0,1,9.289515
-10.0,2,9.298685
-42.0,1,9.30385
-85.5,1,9.310539
-10.0,1,9.316801
-10.0,1,9.322197
-45.0,2,9.332016
-10.0,1,9.337181
-10.0,1,9.344825
-10.0,1,9.349901
-36.0,2,9.359324
-10.0,1,9.364598
-46.5,2,9.374631
-69.6,1,9.378964
-41.1,1,9.383153
-10.0,2,9.390862
-48.6,1,9.395954
-46.8,1,9.401363
-52.8,3,9.414195
-10.0,1,9.419928
-10.0,1,9.427394
-45.0,2,9.436422
-10.0,2,9.446532
-36.3,1,9.451998
-31.8,2,9.462434
-62.1,1,9.46814
-34.5,1,9.475114
-10.0,1,9.480949
-42.3,1,9.486836
-10.0,2,9.496599
-10.0,1,9.502437
-10.0,1,9.508788
-41.1,1,9.514666
-70.2,3,9.52687
-78.3,2,9.535487
-10.0,3,9.5477
-10.0,1,9.553544
-72.6,1,9.560724
-10.0,3,9.570843
-10.0,1,9.578836
-10.0,3,9.589665
-10.0,3,9.600797
-10.0,2,9.61071
-61.8,1,9.616026
-10.0,1,9.622835
-10.0,1,9.629786
-62.1,1,9.634884
-10.0,2,9.64345
-47.7,1,9.648586
-40.2,1,9.653666
-10.0,1,9.659583
-43.2,2,9.667005
-10.0,1,9.673635
-42.6,2,9.681446
-10.0,1,9.687813
-46.8,1,9.695508
-35.7,1,9.700738
-10.0,1,9.707996
-10.0,1,9.713826
-38.1,1,9.719764
-34.2,1,9.726125
-10.0,1,9.731357
-10.0,1,9.736653
-53.7,1,9.743794
-10.0,1,9.749222
-10.0,1,9.754452
-10.0,1,9.760821
-53.1,2,9.768493
-10.0,2,9.778198
-48.6,2,9.785661
-85.2,2,9.79452
-56.1,3,9.805124
-49.8,1,9.811141
-62.4,1,9.816551
-53.7,2,9.826669
-10.0,2,9.8344
-10.0,1,9.841339
-46.8,1,9.846955
-10.0,1,9.852568
-10.0,1,9.859492
-10.0,1,9.864776
-10.0,1,9.870326
-10.0,1,9.877092
-46.8,1,9.882969
-10.0,2,9.893812
-10.0,1,9.899724
-10.0,1,9.90571
-66.9,3,9.917331
-10.0,3,9.929205
-10.0,1,9.934407
-28.8,1,9.940514
-10.0,1,9.946812
-60.9,3,9.961203
-10.0,2,9.969629
-10.0,5,9.987457
-10.0,1,9.99637
-46.8,2,10.004142
-41.1,1,10.012331
-10.0,1,10.018113
-10.0,2,10.028304
-64.8,1,10.034085
-10.0,3,10.046566
-10.0,2,10.055448
-36.3,1,10.061036
-10.0,2,10.070418
-10.0,1,10.078827
-10.0,1,10.084238
-10.0,1,10.090857
-10.0,3,10.101574
-10.0,1,10.109102
-40.2,1,10.137053
-48.6,1,10.143235
-10.0,1,10.148258
-48.3,2,10.158109
-40.2,1,10.163526
-67.8,2,10.172103
-61.8,1,10.178783
-65.4,1,10.184696
-44.1,1,10.191994
-10.0,1,10.19727
-10.0,2,10.206207
-28.8,1,10.211787
-33.6,6,10.230632
-10.0,2,10.241309
-30.6,1,10.246529
-10.0,2,10.254405
-69.3,2,10.263253
-43.5,1,10.268616
-33.6,1,10.27479
-10.0,1,10.280033
-42.3,1,10.284906
-10.0,1,10.292685
-10.0,1,10.297875
-10.0,2,10.306695
-10.0,1,10.312482
-10.0,1,10.317487
-10.0,1,10.324035
-10.0,1,10.329306
-10.0,2,10.337611
-10.0,1,10.344693
-49.5,1,10.349778
-10.0,2,10.359331
-10.0,1,10.364863
-10.0,1,10.370309
-10.0,1,10.376428
-10.0,1,10.38149
-10.0,2,10.390394
-10.0,3,10.400413
-28.8,1,10.406259
-10.0,2,10.413972
-10.0,1,10.419222
-10.0,1,10.425564
-28.5,2,10.433365
-54.0,1,10.438861
-10.0,1,10.444325
-10.0,1,10.448785
-36.9,7,10.468086
-10.0,1,10.475995
-10.0,2,10.484011
-38.7,1,10.490499
-72.6,1,10.49608
-10.0,2,10.504083
-10.0,1,10.51033
-10.0,2,10.517836
-45.3,1,10.524455
-10.0,1,10.530409
-64.8,1,10.535899
-48.0,4,10.550855
-10.0,3,10.563414
-10.0,2,10.573252
-93.3,1,10.579049
-10.0,2,10.588979
-10.0,1,10.594953
-10.0,4,10.60987
-10.0,2,10.617904
-38.7,1,10.625454
-41.7,3,10.639134
-54.0,1,10.644896
-67.5,1,10.650374
-10.0,1,10.657061
-40.2,1,10.662423
-10.0,2,10.670413
-10.0,1,10.676918
-10.0,2,10.684866
-48.6,1,10.692322
-10.0,5,10.709133
-34.5,1,10.714463
-10.0,1,10.719745
-42.3,1,10.7277
-10.0,2,10.735384
-10.0,4,10.747221
-10.0,1,10.750967
-10.0,1,10.75599
-42.6,2,10.762876
-39.3,4,10.776072
-69.3,2,10.784555
-10.0,1,10.790293
-87.0,1,10.79624
-67.8,2,10.804
-49.2,1,10.809394
-10.0,1,10.814506
-44.7,1,10.819614
-10.0,1,10.825026
-10.0,1,10.830092
-45.0,2,10.838394
-10.0,1,10.842931
-48.3,4,10.851983
-45.0,2,10.857615
-10.0,1,10.860936
-10.0,1,10.863987
-67.2,1,10.867002
-61.2,3,10.874841
-30.0,4,10.882212
-10.0,1,10.885448
-29.7,1,10.888931
-10.0,1,10.892161
-42.9,2,10.896597
-34.5,1,10.899606
-10.0,1,10.902714
-10.0,2,10.907533
-36.3,1,10.910518
-25.5,2,10.914739
-48.6,1,10.917783
-10.0,2,10.923188
-10.0,3,10.929089
-10.0,1,10.932118
-10.0,1,10.934905
-10.0,1,10.93816
-69.3,2,10.942694
-51.3,1,10.945678
-36.9,1,10.948483
-48.6,1,10.951336
-54.0,1,10.954342
-44.7,2,10.958892
-10.0,1,10.961847
-10.0,1,10.96458
-48.6,1,10.967334
-38.4,2,10.971935
-85.2,2,10.976421
-10.0,2,10.98051
-10.0,1,10.983181
-10.0,1,10.986095
-49.5,1,10.989594
-36.0,2,10.993843
-10.0,1,10.99656
-44.4,1,10.999343
-10.0,1,11.002746
-10.0,1,11.006031
-10.0,2,11.010354
-10.0,3,11.015519
-51.3,1,11.018227
-44.1,2,11.023091
-48.6,1,11.02613
-10.0,2,11.030045
-10.0,2,11.033989
-10.0,1,11.036659
-10.0,2,11.041492
-38.7,1,11.044354
-67.2,2,11.048617
-10.0,2,11.053257
-33.3,2,11.058384
-25.8,1,11.06143
-41.7,3,11.068074
-10.0,1,11.071677
-54.0,1,11.075136
-10.0,1,11.078072
-10.0,1,11.081043
-43.2,1,11.083926
-10.0,1,11.086752
-10.0,2,11.091788
-31.2,1,11.094962
-39.9,2,11.100374
-10.0,1,11.103326
-44.1,1,11.106588
-28.5,2,11.110893
-36.0,2,11.114938
-10.0,2,11.118953
-10.0,1,11.122244
-40.8,2,11.126634
-10.0,1,11.12934
-10.0,1,11.132047
-10.0,1,11.134714
-10.0,1,11.138782
-45.0,1,11.141807
-48.9,2,11.145817
-45.3,1,11.1485
-10.0,1,11.151191
-43.5,1,11.155077
-10.0,1,11.15905
-54.0,1,11.162183
-42.9,2,11.167516
-10.0,1,11.171446
-10.0,1,11.175901
-43.2,1,11.18012
-10.0,3,11.190643
-10.0,3,11.200663
-48.9,1,11.206583
-30.6,2,11.214223
-10.0,1,11.219536
-10.0,1,11.224944
