#{"t_start": 1787248589.8510437, "env_id": "None"}
r,l,t
-10.0,2,0.139
-10.0,3,0.156308
-10.0,1,0.16423
-10.0,3,0.177993
-10.0,1,0.185279
-10.0,1,0.192802
-29.1,3,0.207882
-70.8,1,0.215511
-42.6,3,0.229508
-10.0,1,0.236716
-30.3,2,0.247879
-10.0,2,0.256788
-48.6,1,0.264386
-40.2,1,0.272235
-31.5,1,0.280066
-48.6,1,0.286556
-10.0,1,0.292856
-42.0,3,0.306424
-67.2,1,0.312904
-61.8,2,0.320552
-10.0,1,0.325667
-48.9,1,0.331553
-10.0,1,0.336531
-42.3,1,0.341403
-41.1,1,0.346735
-10.0,1,0.352051
-10.0,1,0.357022
-41.4,1,0.363764
-30.9,1,0.369041
-10.0,1,0.374094
-10.0,3,0.384358
-43.2,1,0.389732
-10.0,1,0.394829
-37.8,2,0.40367
-38.4,1,0.409218
-42.3,2,0.417419
-44.7,2,0.424777
-42.9,1,0.430125
-49.2,1,0.436138
-46.5,2,0.443839
-10.0,1,0.449817
-10.0,1,0.454872
-10.0,1,0.459713
-10.0,3,0.469587
-42.3,1,0.475224
-10.0,1,0.480286
-42.0,5,0.495783
-30.6,1,0.501011
-10.0,1,0.506258
-38.7,1,0.511173
-10.0,1,0.51641
-10.0,1,0.52195
-48.9,1,0.528399
-10.0,2,0.53734
-56.7,1,0.542405
-40.2,1,0.547296
-42.9,1,0.552134
-10.0,3,0.564147
-85.2,2,0.573562
-10.0,1,0.580071
-10.0,1,0.585643
-93.3,1,0.591655
-45.9,5,0.608472
-22.8,2,0.616306
-48.6,1,0.621863
-10.0,1,0.626843
-28.5,2,0.635483
-10.0,1,0.641106
-10.0,2,0.648761
-10.0,1,0.653812
-10.0,2,0.661751
-42.0,1,0.666781
-10.0,1,0.672128
-48.6,3,0.687772
-48.3,2,0.696063
-49.8,1,0.701333
-29.7,1,0.70729
-10.0,4,0.720846
-10.0,2,0.728544
-32.1,1,0.733445
-10.0,1,0.73873
-10.0,2,0.747409
-43.5,4,0.762316
-44.4,2,0.771883
-10.0,1,0.777824
