#{"t_start": 1787247392.574522, "env_id": "None"}
r,l,t
-10.0,1,11.178361
-69.6,1,11.18373
-48.6,1,11.187371
-10.0,7,11.20481
-54.9,1,11.218926
-10.0,1,11.225292
-29.7,1,11.231369
-70.8,1,11.239548
-10.0,1,11.26403
-10.0,1,11.270004
-30.6,1,11.275172
-87.0,1,11.281295
-48.6,1,11.292577
-10.0,1,11.296342
-10.0,2,11.303498
-10.0,1,11.307167
-69.3,2,11.31839
-10.0,1,11.323844
-67.2,1,11.327486
-10.0,2,11.334498
-10.0,1,11.346062
-10.0,1,11.35038
-10.0,3,11.365638
-42.0,2,11.370291
-40.5,3,11.383782
-68.1,1,11.388279
-67.2,1,11.392467
-10.0,5,11.402713
-30.9,1,11.412612
-48.6,1,11.418187
-40.8,2,11.424328
-10.0,1,11.428945
-45.0,1,11.43755
-38.1,1,11.442507
-10.0,1,11.447652
-10.0,1,11.452131
-10.0,1,11.462083
-42.9,1,11.468368
-10.0,1,11.472961
-10.0,1,11.476359
-49.5,1,11.486725
-10.0,1,11.493041
-10.0,1,11.497759
-10.0,1,11.504269
-42.3,1,11.515146
-10.0,1,11.520666
-42.9,2,11.52766
-10.0,1,11.533503
-10.0,1,11.542605
-38.7,1,11.550819
-30.9,1,11.555367
-22.8,2,11.559976
-48.9,1,11.570058
-10.0,1,11.576782
-10.0,1,11.580752
-10.0,2,11.585426
-42.9,1,11.597311
-93.3,1,11.601212
-10.0,1,11.605811
-45.3,1,11.609622
-10.0,3,11.622576
-93.3,1,11.626279
-47.1,1,11.631336
-23.1,1,11.636851
-10.0,1,11.645645
-38.7,1,11.651566
-10.0,2,11.657403
-10.0,3,11.665122
-41.1,1,11.677689
-42.6,3,11.684179
-10.0,1,11.687585
-42.0,1,11.693279
-10.0,1,11.703819
-10.0,3,11.734691
-10.0,1,11.740278
-10.0,3,11.753847
-29.7,1,11.769132
-62.1,1,11.776361
-10.0,2,11.791447
-32.1,1,11.798422
-10.0,1,11.81033
-10.0,1,11.816138
-10.0,1,11.825557
-10.0,2,11.831524
-48.3,2,11.855525
-36.3,1,11.860021
-10.0,1,11.866
-10.0,2,11.877615
-30.6,2,11.893838
-41.1,1,11.899572
-10.0,1,11.912859
-10.0,2,11.91996
-10.0,1,11.932817
-10.0,1,11.943521
-10.0,2,11.949998
-10.0,1,11.953316
-65.1,2,11.972663
-45.0,1,11.977971
-42.6,2,11.991643
-64.8,1,11.996949
-10.0,1,12.012487
-10.0,1,12.017706
-42.0,1,12.030745
-28.8,1,12.034458
-40.2,1,12.044689
-10.0,1,12.049546
-29.4,2,12.06196
-40.8,2,12.067983
-10.0,1,12.090714
-43.2,1,12.095575
-28.8,1,12.09965
-10.0,1,12.105049
-38.1,1,12.127239
-10.0,1,12.133832
-30.6,2,12.140529
-10.0,1,12.150508
-10.0,1,12.162742
-28.8,1,12.166343
-30.9,1,12.170898
-41.1,1,12.182833
-28.8,1,12.197469
-10.0,2,12.205063
-44.4,2,12.218287
-10.0,2,12.223588
-10.0,1,12.245714
-10.0,1,12.248984
-10.0,1,12.252275
-10.0,1,12.256267
-10.0,4,12.278068
-10.0,1,12.289103
-10.0,1,12.293835
-10.0,1,12.299302
-10.0,2,12.321197
-10.0,1,12.327302
-10.0,3,12.339263
-10.0,2,12.351597
-10.0,1,12.363884
-10.0,1,12.375143
-69.6,1,12.382832
-56.1,3,12.41661
-10.0,1,12.536769
-36.9,1,12.544991
-10.0,1,12.555042
-31.2,1,12.620114
-10.0,1,12.643114
-31.8,2,12.657466
-10.0,3,12.683509
-10.0,1,12.689409
-10.0,2,12.713187
-10.0,1,12.719907
-65.1,2,12.7331
-46.8,1,12.738977
-69.6,1,12.751052
-36.9,1,12.75615
-10.0,2,12.769684
-10.0,1,12.774463
-10.0,2,12.798346
-10.0,1,12.80475
-70.5,2,12.810208
-48.9,1,12.82444
-10.0,2,12.854537
-10.0,1,12.864208
-10.0,4,12.884268
-43.8,2,12.899624
-10.0,1,12.915542
-10.0,1,12.92056
-28.2,3,12.938389
-10.0,1,12.943604
-29.7,1,12.971919
-43.2,2,12.977661
-33.6,1,12.983123
-34.2,2,12.997618
-10.0,2,13.014558
-10.0,1,13.03089
-30.9,2,13.039206
-10.0,1,13.045928
-10.0,7,13.1035
-10.0,5,13.1244
-10.0,2,13.141413
-48.6,1,13.146435
-10.0,2,13.176465
-31.2,1,13.183116
-10.0,1,13.188937
-10.0,2,13.207122
-48.3,2,13.228844
-70.8,1,13.245612
-35.4,2,13.273903
-38.1,1,13.282976
-45.0,1,13.301202
-10.0,1,13.326894
-10.0,2,13.335218
-85.5,1,13.344093
-10.0,1,13.390992
-10.0,1,13.397316
-48.6,1,13.404356
-31.5,1,13.410521
-35.4,2,13.453709
-49.5,2,13.461185
-10.0,2,13.482744
-10.0,1,13.490588
-10.0,2,13.523692
-54.0,1,13.535768
-10.0,2,13.546059
-10.0,1,13.57097
-30.6,2,13.602544
-10.0,1,13.616005
-10.0,1,13.644991
-31.2,1,13.655777
-10.0,1,13.681272
-10.0,1,13.689606
-45.9,4,13.726113
-60.6,5,13.767775
-45.3,1,13.79076
-10.0,2,13.809393
-10.0,1,13.832387
-62.1,1,13.838212
-10.0,1,13.858956
-10.0,1,13.868691
-10.0,4,13.8942
-34.5,1,13.916111
-31.8,2,13.940007
-38.7,1,13.953401
-48.6,1,13.975532
-38.4,1,13.98099
-30.9,2,14.003134
-48.6,1,14.023433
-10.0,1,14.032857
-10.0,1,14.040577
-10.0,1,14.061056
-10.0,3,14.083798
-46.5,2,14.102868
-10.0,1,14.108964
-30.9,1,14.12633
-10.0,1,14.134801
-31.2,2,14.150816
-62.4,1,14.157964
-44.1,1,14.173073
-41.1,1,14.187762
-10.0,1,14.194797
-10.0,1,14.202626
-10.0,5,14.234837
-10.0,2,14.252806
-10.0,2,14.260545
-42.3,1,14.274479
-10.0,2,14.295336
-45.3,1,14.302743
-10.0,1,14.318583
-10.0,1,14.327576
-10.0,1,14.344685
-44.4,1,14.351585
-10.0,1,14.373085
-10.0,1,14.379588
-42.9,2,14.399462
-10.0,3,14.419918
-10.0,2,14.443404
-10.0,1,14.45523
-10.0,2,14.481341
-33.6,1,14.504446
-10.0,1,14.51951
-10.0,1,14.530357
-56.7,1,14.558908
-54.0,1,14.596976
-10.0,1,14.605792
-66.9,2,14.622206
-10.0,1,14.657724
-10.0,3,14.674872
-62.4,1,14.693771
-10.0,1,14.702196
-61.5,1,14.726294
-33.0,3,14.753599
-10.0,1,14.764318
-43.2,2,14.784473
-44.1,1,14.804342
-48.6,2,14.820813
-10.0,1,14.841761
-10.0,1,14.850438
-10.0,1,14.872313
-85.5,1,14.882525
-69.6,1,14.899497
-10.0,1,14.907019
-10.0,2,14.930995
-66.9,2,14.947722
-10.0,1,14.95435
-36.3,1,14.960348
-38.1,2,14.988058
-41.1,1,14.994242
-10.0,1,15.001626
-46.8,1,15.018593
-10.0,1,15.033259
-10.0,1,15.041318
-64.8,3,15.060319
-25.2,1,15.065543
-69.6,1,15.079656
-10.0,1,15.09324
-10.0,3,15.102626
-72.6,1,15.116342
-10.0,1,15.132049
-10.0,2,15.1409
-10.0,1,15.153876
-71.7,4,15.170325
-10.0,2,15.189641
-10.0,1,15.196241
-56.1,3,15.214704
-35.7,1,15.220254
-10.0,1,15.244054
-10.0,2,15.251565
-10.0,1,15.25649
-10.0,1,15.268835
-42.0,5,15.30718
-10.0,5,15.327223
-10.0,1,15.332574
-47.1,1,15.348758
-10.0,1,15.366377
-69.6,1,15.374053
-10.0,5,15.398007
-33.3,2,15.413205
-10.0,3,15.442024
-37.8,2,15.45493
-10.0,1,15.463289
-41.1,1,15.485641
-10.0,2,15.515625
-10.0,1,15.524641
-41.4,4,15.556187
-10.0,3,15.587126
-10.0,1,15.60743
-10.0,1,15.627042
-44.1,1,15.636478
-31.5,1,15.644196
-10.0,2,15.678557
-54.0,1,15.685933
-10.0,5,15.716292
-10.0,2,15.73599
-40.2,1,15.753643
-31.5,1,15.762093
-10.0,1,15.769298
-10.0,1,15.785417
-69.6,1,15.803233
-49.8,1,15.811508
-10.0,1,15.818864
-48.6,1,15.837267
-69.6,1,15.862088
-10.0,1,15.880843
-10.0,1,15.896785
-44.4,2,15.917883
-10.0,1,15.935741
-41.7,2,15.959094
-62.4,1,15.965783
-10.0,2,15.973314
-10.0,1,15.996974
-49.5,2,16.006778
-10.0,1,16.013732
-48.6,2,16.028662
-33.9,2,16.049354
-10.0,2,16.071891
-10.0,1,16.078151
-10.0,2,16.107022
-10.0,1,16.126507
-10.0,2,16.136373
-10.0,1,16.155797
-10.0,2,16.166888
-10.0,1,16.189956
-37.8,2,16.21823
-10.0,1,16.226465
-10.0,1,16.232961
-25.5,2,16.275052
-46.8,1,16.282974
-10.0,1,16.290917
-44.4,1,16.310055
-65.4,1,16.331552
-48.6,1,16.339442
-72.6,1,16.347287
-10.0,2,16.367909
-93.3,1,16.393735
-40.5,3,16.475055
-10.0,1,16.486189
-10.0,2,16.815439
-27.9,4,16.889685
-10.0,1,16.899644
-10.0,2,16.919351
-10.0,2,16.957423
-10.0,4,17.029414
-54.3,3,17.075728
-10.0,2,17.085868
-43.2,1,17.096015
-10.0,1,17.1476
-43.2,1,17.157302
-54.9,1,17.165238
-45.0,1,17.172693
-10.0,1,17.211599
-40.2,1,17.221615
-10.0,1,17.228553
-27.9,4,17.264602
-10.0,2,17.321293
-10.0,2,17.335994
-10.0,1,17.347641
-10.0,3,17.382398
-53.4,1,17.40893
-31.5,1,17.434953
-10.0,1,17.445268
-53.4,3,17.480319
-10.0,1,17.507167
-41.4,3,17.538392
-40.2,1,17.549503
-31.8,2,17.561214
-35.7,1,17.590394
-44.4,1,17.598694
-28.2,3,17.623605
-10.0,1,17.628855
-10.0,3,17.663077
-10.0,2,17.672976
-31.2,1,17.67905
-10.0,1,17.692643
-49.8,1,17.714566
-10.0,1,17.723935
-45.0,1,17.731287
-29.7,1,17.749952
